timestamp,bite_time,rod_x1,rod_x2,rod_y1,rod_y2,fish_x1,fish_x2,fish_y1,fish_y2,fish_label,success
1721715416,0,519.0303,551.64307,377.31555,390.9939,489.09302,501.33972,323.40805,351.6381,1,2
1721715428,4.058,514.20636,548.6397,352.0354,368.46008,574.9559,600.0966,330.95145,352.8961,0,0
1721715460,6.495,511.76144,547.9878,333.04486,351.78693,500.54132,515.3615,293.3736,326.86017,1,0
1721715478,4.486,513.2893,548.0459,346.22455,363.45685,509.73798,518.4561,306.62207,326.86816,0,0
1721715569,9.982,517.9164,550.401,296.07416,303.19965,512.922,634.3447,298.05847,338.23083,2,0
1721715628,0,517.87915,550.511,270.8391,279.463,404.04218,423.3819,292.16406,316.6798,3,2
1721715651,0,517.95715,551.03503,271.22766,279.75916,565.5038,577.14,291.23315,317.43665,3,1
1721715667,8.129,518.9575,550.4719,293.85074,301.23843,638.47266,659.499,325.6645,350.49554,3,0
1721715687,4.41,519.76886,550.8118,294.43146,302.1905,508.11157,538.5532,314.90356,342.9408,0,0
1721715705,7.245,518.12103,550.9328,274.4364,282.94458,431.47717,451.8451,300.03357,324.93915,3,0
1721715756,3.838,522.0138,552.6642,306.45242,313.5038,555.349,581.84705,309.64337,333.14764,0,0
1721715855,0,518.9026,550.3772,291.66644,299.20343,617.88855,648.7313,283.91022,315.2342,2,2
1721715881,0,500.48413,551.2567,147.55661,171.75845,560.2494,580.3102,197.15005,241.82956,3,1
1721715928,0,520.8035,553.0607,278.7303,286.82928,441.52826,462.52448,313.30457,339.59705,3,2
1721715995,7.108,519.8485,550.29065,301.13074,308.66058,427.5298,437.10223,304.05084,325.31696,3,0
1721721326,5.266,516.9987,551.08905,229.6694,237.84329,432.83112,446.90784,263.20178,292.3805,0,0
1721721349,0,520.0499,550.62415,279.36707,285.50037,620.5683,635.0114,279.17496,322.5723,1,2
1721721371,0,521.3167,551.91046,279.85852,285.98145,454.72845,496.16998,271.12015,310.18228,1,1
1721721382,3.885,522.70355,553.0053,282.67853,288.89642,475.98853,498.11377,266.20337,299.48883,1,0
1721721429,3.867,519.1583,549.72424,279.5406,286.73297,421.74554,447.45477,273.60718,295.61536,0,0
1721721520,0,518.4602,547.46875,314.11862,319.22452,478.61914,549.8491,317.19614,371.696,5,1
1721721544,7.001,520.36694,552.6282,248.85321,256.08496,641.6465,655.4734,239.11832,261.67862,0,2
1721721626,0,520.0569,550.855,279.4657,285.30823,538.5979,613.42236,271.16458,319.85446,5,1
1721721645,10.282,521.8534,552.0604,283.6288,289.60635,392.51514,505.97522,279.76608,323.69553,5,0
1721721909,0,516.39105,551.13715,219.06564,228.1506,501.74152,514.1319,215.16467,238.04675,0,1
1721721921,4.199,520.1926,550.8302,286.5962,292.85168,481.1936,498.8429,277.49152,297.9936,0,2
1721722094,0,518.8357,550.7374,266.0569,273.0022,500.10657,516.76514,333.23273,368.617,0,2
1721722289,0,520.2792,553.4625,242.11847,249.8847,507.87097,555.74915,301.8396,344.43872,8,2
1721722313,0,518.1422,551.06165,253.1397,260.35028,510.69043,556.99756,320.47253,355.89453,8,2
1721722325,4.275,520.30286,553.5856,240.63425,248.6752,476.69403,504.77448,254.495,293.98273,9,0
1721722351,0,519.6631,551.063,271.73737,278.26477,494.11328,533.25256,312.44385,346.93298,8,2
1721722373,0,519.8907,550.6916,275.32605,281.7716,489.4226,508.5415,287.30777,312.9152,10,1
1721722419,0,519.8625,550.8896,273.92548,280.59192,488.5807,527.0819,290.82187,316.25082,10,1
1721722453,0,519.2123,551.1283,273.17825,280.06906,604.9601,664.4342,301.62912,330.97458,8,2
1721722476,0,522.2018,553.10583,271.19427,277.977,408.42218,444.95233,270.32407,292.16116,8,2
1721722497,0,520.03796,551.02844,281.84747,288.27777,390.8335,424.92114,339.13297,381.46365,9,2
1721722581,5.008,519.7352,550.9979,276.9573,283.8159,433.9131,471.65015,289.41565,314.53192,10,0
1721722598,4.076,520.2338,551.34467,279.8833,286.5266,522.7339,567.60864,273.8511,302.6464,9,0
1721722616,4.114,521.1749,553.28406,260.6541,267.89008,550.6792,607.0559,281.32,310.06122,8,0
1721722635,6.365,518.272,550.8562,255.20111,262.38617,470.11282,502.22702,257.9026,281.5371,8,0
1721722667,0,518.86334,550.9449,256.33688,263.43735,609.8231,682.27734,320.2744,368.7704,9,2
1721722710,3.878,519.2073,550.7102,270.57498,277.35202,481.19394,507.41708,296.2331,324.2824,10,0
1721722745,7.531,519.6666,550.9745,269.56958,276.44214,510.10022,555.49756,309.61237,339.09283,8,0
1721722773,0,519.74097,550.93774,272.27322,278.9752,402.52905,460.5266,296.8418,335.86414,9,2
1721722791,6.68,520.0408,550.67456,274.6682,281.2677,512.97076,550.25226,294.10388,323.55933,8,0
1721722817,0,516.8689,551.2388,235.07874,243.11438,477.92877,536.7009,339.22388,382.14124,10,2
1721722841,0,514.7355,551.2223,218.91196,227.55814,501.53378,557.0492,220.77274,258.56317,9,1
1721722861,0,520.0646,550.90125,279.4351,285.81863,543.1372,576.5729,298.79773,325.23328,10,1
1721722881,5.303,520.1597,551.2143,277.79248,284.333,391.55908,442.64734,294.00412,330.15793,9,0
1721722898,5.005,520.0288,550.9048,277.95935,284.45526,567.6813,585.23706,282.44763,305.35254,10,0
1721723189,0,519.03687,550.8313,281.40744,288.84958,479.74176,503.99835,310.99738,361.5749,4,2
1721723212,0,519.9813,550.83875,287.91122,294.85165,410.0111,436.3905,290.14575,312.53223,0,2
1721723298,4.586,516.1687,553.34204,201.8215,212.92648,514.7443,577.48553,238.29575,288.1638,1,2
1721723348,0,520.8865,553.25073,268.59747,276.2625,325.73346,348.79126,280.07797,325.40378,4,2
1721723362,5.903,510.69437,550.2666,186.46628,199.13913,508.95013,550.2492,248.70343,284.98785,0,0
1721723378,4.616,519.0048,551.07587,276.1535,283.22162,497.21014,542.1287,300.99365,342.52258,4,0
1721723411,0,520.00757,553.8528,245.33142,253.68872,405.17084,463.48895,314.61053,370.98553,1,2
1721723441,8.254,519.67804,550.8145,285.18094,292.2192,414.78265,542.7269,307.29495,361.1815,5,0
1721723523,0,520.0548,550.9646,291.95523,298.75638,594.32495,617.9619,305.47614,345.24445,1,2
1721723551,0,520.1138,550.9468,291.76392,298.7987,549.4059,588.5233,287.69574,326.5561,1,1
1721723566,7.344,520.10486,550.6935,289.16687,296.02222,497.46835,535.2311,267.02078,301.1652,1,0
1721723699,0,517.56305,551.12006,247.91364,256.5849,598.5499,661.3424,304.1961,357.52686,1,2
1721723723,0,514.9177,549.65674,237.27222,246.52295,533.43896,551.36255,261.43414,310.9781,1,2
1721723748,0,519.42426,550.7476,285.45804,292.5615,588.4342,612.17395,324.17987,376.51947,1,2
1721723770,0,518.8485,551.0055,276.39352,283.92758,484.95786,555.2914,351.9351,416.2795,1,2
1721723792,0,516.8214,553.8954,209.70624,220.20682,467.95154,523.50476,215.19037,264.44406,1,1
1721723815,0,519.7468,550.81616,283.12424,290.12595,507.05716,525.395,304.99234,354.2667,1,2
1721723889,0,514.1642,548.7418,205.06898,215.89098,532.058,577.5065,192.93355,235.4362,1,1
1721723935,0,519.1786,552.2567,248.12982,256.69803,521.8335,574.0918,277.2218,328.12817,1,2
1721724103,3.657,518.9155,550.88257,287.87463,295.54266,472.91718,518.0919,298.15427,336.02298,4,0
1721724291,0,522.27423,552.757,301.25452,308.73315,518.7185,526.8887,283.53735,300.27063,3,2
1721724329,0,518.90356,550.51855,287.3151,295.0032,562.47394,575.1425,293.86462,329.57837,4,1
1721724421,4.185,519.0125,550.398,289.86047,297.05457,605.765,625.7965,285.21527,309.3211,0,0
1721724687,3.806,519.74945,550.5704,297.16653,304.8868,504.8377,521.4382,286.41788,307.88278,0,0
1721724742,0,521.8306,553.0015,302.90308,310.08746,541.77686,551.5205,284.4961,303.14075,3,2
1721724765,0,516.19336,550.8391,241.67502,251.88345,557.63586,566.9071,206.37502,223.54057,3,2
1721724792,0,522.9424,552.88916,298.75473,305.94626,513.3142,527.18335,311.73663,332.64386,3,1
1721724814,0,520.0355,550.75745,302.85687,310.00958,411.33038,421.08856,295.2287,316.14008,3,2
1721724838,0,519.48737,550.81024,292.45453,300.0656,654.103,677.47144,331.82904,355.99518,3,2
1721724859,0,520.0079,550.1351,302.98877,310.1728,664.7882,687.3644,340.42487,364.6253,3,2
1721724898,6.576,518.21313,553,239.19989,249.26074,447.10083,460.54248,260.6102,289.71555,3,0
1721724945,0,520.2938,552.99304,266.27145,275.0151,580.2183,593.2061,307.56448,333.8185,3,2
1721724967,0,519.49646,553.3041,250.55493,259.99658,585.3213,612.8047,336.5244,368.22998,3,2
1721724982,7.18,521.0963,553.25134,295.45776,303.1095,441.95557,460.813,306.32266,328.17197,3,0
1721725014,6.994,519.55884,553.46704,297.48157,305.6682,446.18942,462.23422,304.48926,324.97388,3,0
1721725081,0,520.068,553.0563,265.6306,274.2539,671.30115,696.0093,311.06195,337.406,3,2
1721725121,7.212,521.6382,553.5691,302.46375,309.56775,580.7809,596.33215,293.04523,311.7218,3,0
1721725149,6.922,519.03735,550.3694,289.66107,297.42352,530.356,549.39154,316.10895,339.76178,3,0
1721725192,0,521.56506,551.027,306.1541,313.08124,549.4834,565.7859,316.67328,339.26355,3,1
1721725216,0,518.65295,551.04846,280.53888,288.42804,563.16205,597.9467,330.45093,378.6612,4,2
1721725241,0,522.11194,553.4238,301.84006,308.83194,588.2649,602.572,315.10425,336.25586,3,1
1721725261,0,519.0604,550.5548,288.35315,295.94495,685.98883,729.5512,289.992,328.26544,4,2
1721725540,0,518.9957,550.45874,284.62463,292.281,403.61407,413.0916,295.5227,320.67883,3,2
1721725564,0,521.8578,552.4706,300.67877,307.06854,576.2444,591.2427,285.42606,303.14328,3,2
1721725587,0,519.2727,550.6616,293.41266,300.8979,305.55548,325.1411,304.57654,326.1897,3,2
1721725610,0,519.3677,551.5554,300.64426,308.478,582.95306,600.50006,303.79095,323.70953,3,1
1721725625,7.18,519.8531,550.7059,302.9451,310.10904,458.9455,482.66815,279.90344,312.27985,4,2
1721725664,0,522.6328,552.48706,307.62903,315.08545,449.48157,464.30127,290.74182,308.42468,3,2
1721725679,7.543,518.9884,550.693,292.1161,299.5824,619.56445,639.0786,324.47192,348.06946,3,0
1721725709,6.875,518.959,550.6404,292.58014,300.21613,451.8153,463.3578,311.49026,332.26163,3,0
1721725786,0,519.71704,550.60767,295.9342,303.6693,470.67468,485.1681,339.30243,366.45148,3,2
1721725809,0,523.38983,553.0162,315.27536,321.95224,461.4011,472.64066,282.20175,295.7518,3,2
1721725840,0,520.2394,548.8707,325.9292,332.32288,554.9114,563.3667,308.8485,325.70038,3,2
1721725864,0,520.05634,550.7259,301.9611,309.1779,554.3544,568.1044,275.6242,291.5174,3,2
1721725900,4.394,519.8423,550.79834,301.9458,309.1643,575.0685,594.504,323.1211,345.24304,3,0
1721726183,0,504.67993,541.3192,455.12558,484.22916,419.4414,489.34473,203.93115,235.71277,2,2
1721726199,7.026,512.0443,545.44934,474.9259,498.13794,491.38083,600.0969,415.5426,459.5536,2,0
1721726273,0,509.7331,544.95734,467.78513,494.95615,515.65894,524.3352,318.30585,335.80573,0,2
1721726300,0,499.758,538.9556,453.43524,487.12653,545.6943,562.19305,220.17746,238.26212,0,2
1721726406,0,498.3426,538.06085,454.7091,489.91187,464.09247,487.61444,199.87567,216.53278,0,2
1721726430,0,509.92465,544.7611,469.2233,495.76852,534.36035,548.69214,312.06625,329.47012,0,2
1721726464,0,496.08273,536.97,458.32214,495.44604,534.06525,553.49994,228.10599,245.00955,0,2
1721726486,0,495.3485,536.8379,459.17877,497.0418,567.4391,593.68274,244.63498,261.34476,0,2
1721726499,4.419,496.00885,536.58295,458.08267,495.28275,527.5609,537.3622,357.0874,386.29102,0,0
1721726560,0,507.9695,542.14624,471.416,496.25894,503.51447,527.03156,430.31,474.748,4,1
1721901598,4.083,515.03284,550.0082,298.95856,312.3416,533.02405,551.0619,282.4383,301.2834,0,0
1721901638,0,522.13086,552.4668,353.5312,363.0075,489.06378,511.00348,317.74078,336.94647,0,2
1721901663,0,517.6498,550.23376,306.29587,317.9813,552.92554,560.59424,261.85422,280.72708,0,2
1721901683,0,520.52,552.1376,338.0615,348.6024,519.3843,540.1024,291.85944,309.81573,0,2
1721901796,0,516.35333,549.899,308.61975,320.72052,425.8152,516.6952,286.70734,350.20087,5,1
1721901832,0,517.552,549.6057,321.92133,333.32428,525.5267,624.85846,323.0836,367.6857,5,1
1721901859,7.107,516.31616,549.5935,309.33722,321.5528,390.70142,515.2173,306.20148,358.57697,5,0
1721901884,7.192,517.9298,551.3622,309.26825,321.17365,522.7628,645.5862,315.83163,372.37436,5,0
1721901912,0,519.29376,551.7225,312.25952,323.99896,678.4758,689.8767,319.9502,344.5255,0,2
1721901934,0,516.37787,549.571,310.75458,322.66388,361.9135,380.30878,309.8804,331.24973,0,2
1721903725,7.19,518.3041,551.86365,311.6161,323.9308,536.2799,644.36365,328.0468,389.6729,5,0
1721903754,0,516.3156,549.76984,312.14038,324.0874,432.21713,474.88144,299.15918,333.5927,1,2
1721903779,0,520.2919,552.88245,330.00684,340.9679,573.8812,642.0702,325.73364,366.89276,5,1
1721903791,4.588,516.1926,549.8042,311.76547,323.63297,415.61694,451.88623,290.5547,328.46667,1,2
1721903915,0,515.1791,549.5648,292.64325,306.07953,442.71466,574.90796,303.0219,364.23114,5,1
1721903937,0,520.8232,551.9749,348.83682,358.72983,485.4038,530.4909,292.23163,321.89056,5,2
1721903953,8.133,514.8605,549.8314,292.12692,305.8491,396.30414,442.62225,316.52686,358.62366,1,0
1721903981,0,521.9231,552.04944,350.88422,360.84723,557.0694,641.611,297.1441,331.91785,5,2
1721904000,10.003,520.94104,552.02344,338.6961,349.18945,364.9467,415.60306,296.32043,327.93738,5,2
1721904032,6.182,511.53992,549.6504,278.3467,293.52084,479.04865,520.85077,258.76776,296.53473,1,0
1721904052,6.921,519.35583,552.1074,317.4762,329.437,541.62396,619.96027,338.72745,395.7961,5,0
1721904077,9.959,517.0768,546.9796,362.92896,372.23206,424.11038,437.6694,335.78943,363.93848,1,2
1721904105,8.793,512.00415,549.62476,270.13947,286.78455,459.1089,551.06274,315.94244,432.58026,5,0
1721904156,0,522.6371,550.5106,398.17474,406.0763,441.25528,465.13174,371.63495,399.72784,1,2
1721904178,0,519.9004,548.7771,385.95984,394.65967,603.0323,634.24664,346.77963,375.54306,1,2
1721904232,0,517.7816,549.83655,327.47998,338.47144,647.59796,678.75275,300.17603,332.9485,1,2
1721904252,0,517.0847,549.4868,321.58557,333.1919,328.78934,370.34048,303.4029,337.2486,1,2
